Gene	Assembled_transcripts	A.lyrata.pep	A.thaliana.pep	B.rapa.pep
Np001G000010	1	1	1	1
Np001G000020	1	1	1	1
Np001G000030	0	0	0	0
Np001G000040	1	1	1	1
Np001G000070	1	1	1	1
Np001G000080	1	1	1	1
Np001G000090	1	1	1	1
Np001G000100	1	1	1	0
Np001G000110	1	1	1	0
Np001G000120	1	1	1	1
Np001G000130	1	1	1	1
Np001G000140	1	1	1	1
Np001G000150	1	1	1	1
Np001G000160	1	0	0	0
Np001G000170	1	1	1	1
Np001G000180	1	1	1	1
Np001G000190	1	1	1	1
Np001G000200	1	1	1	1
Np001G000210	1	1	1	0
Np001G000220	1	1	1	1
Np001G000230	1	1	1	0
Np001G000240	1	1	1	0
Np001G000250	1	0	0	0
Np001G000260	1	1	1	1
Np001G000270	1	1	1	1
Np001G000280	1	1	1	0
Np001G000290	1	1	1	0
Np001G000300	1	1	1	1
Np001G000310	1	1	1	1
Np001G000320	1	1	1	1
Np001G000330	1	1	1	1
Np001G000340	1	1	1	1
Np001G000350	1	1	1	1
Np001G000380	0	0	0	0
Np001G000390	1	0	0	0
Np001G000400	1	1	1	1
Np001G000420	0	1	1	1
Np001G000430	1	1	1	1
Np001G000460	1	1	1	1
Np001G000490	0	1	1	1
Np001G000500	1	1	1	1
Np001G000510	0	1	1	0
Np001G000520	1	1	1	1
Np001G000530	1	1	1	1
Np001G000540	1	1	1	1
Np001G000550	1	1	1	1
Np001G000560	1	1	1	1
Np001G000580	1	1	1	1
Np001G000590	1	1	1	1
Np001G000600	1	1	1	1
Np001G000610	1	1	1	1
Np001G000620	1	1	1	1
Np001G000630	1	1	1	0
Np001G000640	1	1	1	1
Np001G000650	1	0	0	0
Np001G000670	1	1	1	1
Np001G000690	1	1	1	1
Np001G000700	0	1	1	1
Np001G000710	1	1	1	1
Np001G000720	1	1	1	1
Np001G000730	0	1	1	0
Np001G000740	0	1	1	1
Np001G000750	1	1	1	1
Np001G000760	1	1	1	0
Np001G000770	1	1	1	1
Np001G000780	0	0	0	0
Np001G000790	1	1	1	0
Np001G000800	1	1	1	1
