Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
XO467R_Macrogen_1_val_1	62.80545214123515	46.0	148.27977237975227	151	18.181818181818183	16618381.0
XO467R_Macrogen_2_val_2	61.331064206413075	46.0	148.1017717068829	151	27.27272727272727	16618381.0
XO467_OL_1_val_1	61.25068415507627	45.0	147.65004817822972	150	18.181818181818183	21605194.0
XO467_OL_2_val_2	60.75535654627374	45.0	147.66204427509422	150	18.181818181818183	21605194.0
XO467_R_1_val_1	60.33575046343642	45.0	148.08314368413383	150	18.181818181818183	18756121.0
XO467_R_2_val_2	59.30642995380646	45.0	148.0834384679007	150	18.181818181818183	18756121.0
XO467_S_1_val_1	61.17501398336043	45.0	148.31864059589932	150	18.181818181818183	19411064.0
XO467_S_2_val_2	60.467242025605	45.0	148.33294135756805	150	18.181818181818183	19411064.0
XO467_YL_1_val_1	60.050811460470456	45.0	148.0117060417832	150	18.181818181818183	19005912.0
XO467_YL_2_val_2	59.535309146563144	45.0	148.03387077662993	150	18.181818181818183	19005912.0
XO772_F_MKRN250017683-1A_22VTVNLT4_L4_1_val_1	72.499610110968	46.0	148.45672227453116	150	18.181818181818183	35689676.0
XO772_F_MKRN250017683-1A_22VTVNLT4_L4_2_val_2	71.87542533575737	46.0	148.42769191852568	150	18.181818181818183	35689676.0
