Module	Section	Sample Name	Source
FastQC	all_sections	SRR24947464_1	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947464_1_fastqc.zip
FastQC	all_sections	XN580_R_2	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/XN580_R_2_fastqc.zip
FastQC	all_sections	SRR24947466_2	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947466_2_fastqc.zip
FastQC	all_sections	SRR24947462_2	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947462_2_fastqc.zip
FastQC	all_sections	XN580_S_2	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/XN580_S_2_fastqc.zip
FastQC	all_sections	XN580_L_1	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/XN580_L_1_fastqc.zip
FastQC	all_sections	SRR24947466_1	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947466_1_fastqc.zip
FastQC	all_sections	XN580_F_2	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/XN580_F_2_fastqc.zip
FastQC	all_sections	XN580_S_1	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/XN580_S_1_fastqc.zip
FastQC	all_sections	SRR24947461_2	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947461_2_fastqc.zip
FastQC	all_sections	XN580_FB_1	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/XN580_FB_1_fastqc.zip
FastQC	all_sections	SRR24947461_1	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947461_1_fastqc.zip
FastQC	all_sections	SRR24947463_1	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947463_1_fastqc.zip
FastQC	all_sections	XN580_L_2	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/XN580_L_2_fastqc.zip
FastQC	all_sections	SRR24947465_2	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947465_2_fastqc.zip
FastQC	all_sections	SRR24947463_2	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947463_2_fastqc.zip
FastQC	all_sections	XN580_F_1	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/XN580_F_1_fastqc.zip
FastQC	all_sections	XN580_FB_2	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/XN580_FB_2_fastqc.zip
FastQC	all_sections	XN580_R_1	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/XN580_R_1_fastqc.zip
FastQC	all_sections	SRR24947464_2	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947464_2_fastqc.zip
FastQC	all_sections	SRR24947462_1	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947462_1_fastqc.zip
FastQC	all_sections	SRR24947465_1	/storage/brno12-cerit/home/duchmil/annotations/Noccaea_praecox_2024_12/rnaseq/1_raw_reads/fastqc/SRR24947465_1_fastqc.zip
