Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
XA472L_Macrogen_1_val_1	70.47405875636127	47.0	148.10164213316557	151	18.181818181818183	18618283.0
XA472L_Macrogen_2_val_2	69.88497809816948	47.0	147.91724714894494	151	27.27272727272727	18618283.0
XA472_L_1_val_1	81.23169050113157	42.0	148.303826386931	150	27.27272727272727	18770292.0
XA472_L_2_val_2	83.34151860745835	42.0	148.21802958632716	150	27.27272727272727	18770292.0
XA472_R_1_val_1	63.32922725774083	44.0	148.64370059029036	150	18.181818181818183	19943575.0
XA472_R_2_val_2	62.90837528219897	44.0	148.6376613520896	150	18.181818181818183	19943575.0
XA472_S_1_val_1	61.39889489129623	43.0	148.65198715105328	150	18.181818181818183	20754386.0
XA472_S_2_val_2	60.33362698732475	43.0	148.62787181466126	150	18.181818181818183	20754386.0
XA691_F_MKRN250017679-1A_22VTVNLT4_L4_1_val_1	82.44235936385145	46.0	147.9960185174985	150	18.181818181818183	91681930.0
XA691_F_MKRN250017679-1A_22VTVNLT4_L4_2_val_2	81.58613334448572	46.0	147.97260297639895	150	18.181818181818183	91681930.0
