Module	Section	Sample Name	Source
FastQC	all_sections	XA472_R_1_val_1	/storage/brno12-cerit/home/duchmil/annotations/Aethionema_saxatile_2025_06/rnaseq/2_trimmed_reads/fastqc/XA472_R_1_val_1_fastqc.zip
FastQC	all_sections	XA472_S_2_val_2	/storage/brno12-cerit/home/duchmil/annotations/Aethionema_saxatile_2025_06/rnaseq/2_trimmed_reads/fastqc/XA472_S_2_val_2_fastqc.zip
FastQC	all_sections	XA472_R_2_val_2	/storage/brno12-cerit/home/duchmil/annotations/Aethionema_saxatile_2025_06/rnaseq/2_trimmed_reads/fastqc/XA472_R_2_val_2_fastqc.zip
FastQC	all_sections	XA691_F_MKRN250017679-1A_22VTVNLT4_L4_2_val_2	/storage/brno12-cerit/home/duchmil/annotations/Aethionema_saxatile_2025_06/rnaseq/2_trimmed_reads/fastqc/XA691_F_MKRN250017679-1A_22VTVNLT4_L4_2_val_2_fastqc.zip
FastQC	all_sections	XA472L_Macrogen_1_val_1	/storage/brno12-cerit/home/duchmil/annotations/Aethionema_saxatile_2025_06/rnaseq/2_trimmed_reads/fastqc/XA472L_Macrogen_1_val_1_fastqc.zip
FastQC	all_sections	XA472L_Macrogen_2_val_2	/storage/brno12-cerit/home/duchmil/annotations/Aethionema_saxatile_2025_06/rnaseq/2_trimmed_reads/fastqc/XA472L_Macrogen_2_val_2_fastqc.zip
FastQC	all_sections	XA472_L_1_val_1	/storage/brno12-cerit/home/duchmil/annotations/Aethionema_saxatile_2025_06/rnaseq/2_trimmed_reads/fastqc/XA472_L_1_val_1_fastqc.zip
FastQC	all_sections	XA691_F_MKRN250017679-1A_22VTVNLT4_L4_1_val_1	/storage/brno12-cerit/home/duchmil/annotations/Aethionema_saxatile_2025_06/rnaseq/2_trimmed_reads/fastqc/XA691_F_MKRN250017679-1A_22VTVNLT4_L4_1_val_1_fastqc.zip
FastQC	all_sections	XA472_S_1_val_1	/storage/brno12-cerit/home/duchmil/annotations/Aethionema_saxatile_2025_06/rnaseq/2_trimmed_reads/fastqc/XA472_S_1_val_1_fastqc.zip
FastQC	all_sections	XA472_L_2_val_2	/storage/brno12-cerit/home/duchmil/annotations/Aethionema_saxatile_2025_06/rnaseq/2_trimmed_reads/fastqc/XA472_L_2_val_2_fastqc.zip
