Module	Section	Sample Name	Source
FastQC	all_sections	XE263_OL_2_val_2	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE263_OL_2_val_2_fastqc.zip
FastQC	all_sections	XE263OL_Macrogen_1_val_1	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE263OL_Macrogen_1_val_1_fastqc.zip
FastQC	all_sections	XE263_R_1_val_1	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE263_R_1_val_1_fastqc.zip
FastQC	all_sections	XE263_S_2_val_2	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE263_S_2_val_2_fastqc.zip
FastQC	all_sections	XE774_F_MKRN250017682-1A_22VTVNLT4_L4_2_val_2	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE774_F_MKRN250017682-1A_22VTVNLT4_L4_2_val_2_fastqc.zip
FastQC	all_sections	XE263OL_Macrogen_2_val_2	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE263OL_Macrogen_2_val_2_fastqc.zip
FastQC	all_sections	XE263_R_2_val_2	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE263_R_2_val_2_fastqc.zip
FastQC	all_sections	XE263_S_1_val_1	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE263_S_1_val_1_fastqc.zip
FastQC	all_sections	XE263_YL_2_val_2	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE263_YL_2_val_2_fastqc.zip
FastQC	all_sections	XE774_F_MKRN250017682-1A_22VTVNLT4_L4_1_val_1	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE774_F_MKRN250017682-1A_22VTVNLT4_L4_1_val_1_fastqc.zip
FastQC	all_sections	XE263_OL_1_val_1	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE263_OL_1_val_1_fastqc.zip
FastQC	all_sections	XE263_YL_1_val_1	/storage/brno12-cerit/home/duchmil/annotations/Erysimum_linariifolium_2025_09/rnaseq/2_trimmed_reads/fastqc/XE263_YL_1_val_1_fastqc.zip
