Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
XC174YL_Macrogen_1_val_1	63.00835830983745	45.0	145.710671878268	151	18.181818181818183	18718495.0
XC174YL_Macrogen_2_val_2	60.107857427625675	45.0	145.50997465341098	151	27.27272727272727	18718495.0
XC174_OL_1_val_1	58.853770588611184	44.0	148.6971184677988	150	18.181818181818183	21490650.0
XC174_OL_2_val_2	58.422311805173756	44.0	148.68110131615376	150	18.181818181818183	21490650.0
XC174_R_1_val_1	71.30959093550634	44.0	148.69170545224404	150	18.181818181818183	17281123.0
XC174_R_2_val_2	70.40464672170478	44.0	148.67507539874578	150	18.181818181818183	17281123.0
XC174_S_1_val_1	63.48639545514066	44.0	148.66223816840753	150	18.181818181818183	18153558.0
XC174_S_2_val_2	62.69994864274558	44.0	148.62155380229044	150	18.181818181818183	18153558.0
XC174_YL_1_val_1	60.55415805982626	44.0	148.70588312725445	150	18.181818181818183	19220067.0
XC174_YL_2_val_2	59.42038550987685	44.0	148.67875007927913	150	18.181818181818183	19220067.0
XC618_FB_MKRN250017681-1A_22VTVNLT4_L6_1_val_1	61.689580626673866	44.0	148.40777337110558	150	27.27272727272727	29609393.0
XC618_FB_MKRN250017681-1A_22VTVNLT4_L6_2_val_2	60.44639338792267	44.0	148.3324386622853	150	18.181818181818183	29609393.0
XC618_F_MKRN250017680-1A_22VTVNLT4_L4_1_val_1	68.02490769085261	44.0	148.35581242842372	150	18.181818181818183	39636901.0
XC618_F_MKRN250017680-1A_22VTVNLT4_L4_2_val_2	66.96659087378487	44.0	148.30679938878168	150	18.181818181818183	39636901.0
