Gene	Assembled_transcripts	A.lyrata.pep	A.thaliana.pep	B.rapa.pep
El001G000010	0	0	0	0
El001G000030	0	0	0	1
El001G000040	1	1	1	1
El001G000050	1	1	1	1
El001G000060	1	1	1	0
El001G000070	1	1	1	1
El001G000080	1	1	1	1
El001G000090	1	1	1	1
El001G000100	1	1	1	1
El001G000110	0	1	1	1
El001G000120	1	1	1	1
El001G000130	1	1	1	1
El001G000140	0	1	1	1
El001G000170	1	0	0	1
El001G000180	1	1	1	1
El001G000190	1	1	1	1
El001G000200	1	1	1	0
El001G000210	1	1	1	1
El001G000220	0	1	1	1
El001G000250	0	0	0	0
El001G000260	1	1	1	1
El001G000270	1	1	1	1
El001G000280	1	1	1	1
El001G000290	1	0	0	0
El001G000300	0	0	0	0
El001G000320	1	1	1	1
El001G000330	0	1	1	1
El001G000340	1	1	1	0
El001G000350	1	1	1	0
El001G000360	1	1	1	1
El001G000370	1	1	1	1
El001G000380	0	1	0	1
El001G000390	0	0	0	0
El001G000400	1	1	1	1
El001G000410	1	1	1	0
El001G000420	0	0	0	0
El001G000430	1	1	1	1
El001G000440	1	1	1	0
El001G000450	1	1	1	1
El001G000460	1	1	1	0
El001G000470	1	1	1	1
El001G000490	0	1	1	1
El001G000500	1	1	1	1
El001G000510	1	1	1	1
El001G000520	1	1	1	1
El001G000530	0	0	0	1
El001G000540	1	0	0	0
El001G000550	1	1	1	1
El001G000560	1	1	1	1
El001G000570	1	1	1	1
El001G000580	1	1	1	1
El001G000590	1	1	1	1
El001G000600	1	1	1	1
El001G000610	1	1	1	1
El001G000620	0	1	1	1
El001G000630	1	1	1	0
El001G000640	1	0	0	1
El001G000650	0	1	0	0
El001G000660	1	1	1	1
El001G000670	1	1	1	1
El001G000680	1	1	1	1
El001G000690	1	1	1	1
El001G000700	1	1	1	1
El001G000710	0	0	0	0
El001G000720	0	0	0	0
El001G000730	1	1	1	1
El001G000740	1	1	1	0
El001G000750	1	1	1	1
El001G000760	1	1	1	0
El001G000770	1	0	0	0
El001G000780	0	0	0	0
El001G000790	1	1	1	1
El001G000800	1	1	1	1
El001G000810	1	1	1	1
El001G000820	1	1	1	1
El001G000830	1	1	1	1
El001G000840	1	1	1	1
